page_id,id,group,state,render,device_pass
AC-006,AC-006-account-snapshot-normal-verification-verified-ordinary,state,"{""manifestId"": ""AC-006"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""verification-verified"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-006-account-snapshot-normal-verification-verified-ordinary.png,False
AC-007,AC-007-account-snapshot-empty-normal-ordinary,state,"{""manifestId"": ""AC-007"", ""readTarget"": ""account.snapshot"", ""state"": ""empty"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-007-account-snapshot-empty-normal-ordinary.png,False
AC-007,AC-007-account-snapshot-error-normal-ordinary,state,"{""manifestId"": ""AC-007"", ""readTarget"": ""account.snapshot"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-007-account-snapshot-error-normal-ordinary.png,False
AC-007,AC-007-account-snapshot-loading-normal-ordinary,state,"{""manifestId"": ""AC-007"", ""readTarget"": ""account.snapshot"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-007-account-snapshot-loading-normal-ordinary.png,False
AC-008,AC-008-account-snapshot-error-normal-ordinary,state,"{""manifestId"": ""AC-008"", ""readTarget"": ""account.snapshot"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-008-account-snapshot-error-normal-ordinary.png,False
AC-008,AC-008-account-snapshot-loading-normal-ordinary,state,"{""manifestId"": ""AC-008"", ""readTarget"": ""account.snapshot"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-008-account-snapshot-loading-normal-ordinary.png,False
AC-008,AC-008-account-snapshot-normal-restricted-ordinary,state,"{""manifestId"": ""AC-008"", ""readTarget"": ""account.snapshot"", ""state"": ""normal"", ""variant"": ""restricted"", ""role"": ""ordinary"", ""readCalls"": [""account.snapshot""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-008-account-snapshot-normal-restricted-ordinary.png,False
AC-009,AC-009-account-appeal-empty-normal-ordinary,state,"{""manifestId"": ""AC-009"", ""readTarget"": ""account.appeal"", ""state"": ""empty"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.appeal""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-009-account-appeal-empty-normal-ordinary.png,False
AC-009,AC-009-account-appeal-error-normal-ordinary,state,"{""manifestId"": ""AC-009"", ""readTarget"": ""account.appeal"", ""state"": ""error"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.appeal""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-009-account-appeal-error-normal-ordinary.png,False
AC-009,AC-009-account-appeal-loading-normal-ordinary,state,"{""manifestId"": ""AC-009"", ""readTarget"": ""account.appeal"", ""state"": ""loading"", ""variant"": ""normal"", ""role"": ""ordinary"", ""readCalls"": [""account.appeal""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-009-account-appeal-loading-normal-ordinary.png,False
AC-009,AC-009-account-appeal-normal-appeal-approved-ordinary,state,"{""manifestId"": ""AC-009"", ""readTarget"": ""account.appeal"", ""state"": ""normal"", ""variant"": ""appeal-approved"", ""role"": ""ordinary"", ""readCalls"": [""account.appeal""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-009-account-appeal-normal-appeal-approved-ordinary.png,False
AC-009,AC-009-account-appeal-normal-appeal-cancelled-ordinary,state,"{""manifestId"": ""AC-009"", ""readTarget"": ""account.appeal"", ""state"": ""normal"", ""variant"": ""appeal-cancelled"", ""role"": ""ordinary"", ""readCalls"": [""account.appeal""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-009-account-appeal-normal-appeal-cancelled-ordinary.png,False
AC-009,AC-009-account-appeal-normal-appeal-none-ordinary,state,"{""manifestId"": ""AC-009"", ""readTarget"": ""account.appeal"", ""state"": ""normal"", ""variant"": ""appeal-none"", ""role"": ""ordinary"", ""readCalls"": [""account.appeal""], ""evidenceType"": ""SYNTHETIC_PRODUCTION_WIDGET"", ""deviceValidated"": false}",renders/finish123-complete-states/390x844-text1.0/AC-009-account-appeal-normal-appeal-none-ordinary.png,False
